Country Name,PrivateInvest,CO2,Renew,AccessEnergy,FossilFuel,ElectricPower,FuelExports,GDP,ForestArea,EnergyUse,PopGrowth,RenewElecOut,UrbanPop,CGovDebt,AirPolExp,Continent,ParisClimAccord
Late-demographic dividend,23252960000,15089660.88,14.07068249,98.94332442,86.18233309,3707.918998,20.9875057,1.97E+13,39.00159707,2309.0247,0.610963736,25.25461383,58.93207808,,45.022155,Africa,
Lithuania,173180000,12838.167,27.70505248,100,67.99374947,3821.14517,17.68516519,48485169331,34.76456504,2387.275194,-0.859827343,40.74973031,67.108,,12.84519425,Europe,Yes
Luxembourg,144320000,9658.878,6.883231945,100,83.33175267,13914.67845,0.814519549,66103853237,35.67901109,6861.106667,2.356978705,20.94488189,89.884,,10.85761339,Europe,Yes
Latvia,120270000,6974.634,40.2360616,100,56.71742757,3507.404521,8.816682424,31382780146,53.96590701,2176.843306,-0.941743354,54.54191791,67.952,,14.8790851,Europe,Yes
Morocco,2623000000,59863.775,11.71858728,91.6,88.46886281,904.4421548,3.292297501,1.10E+11,12.63723952,555.1378792,1.403845047,12.38781048,60.256,,29.94944999,Africa,Yes
Moldova,100232000,4932.115,13.04735002,100,88.68802224,1386.234439,0.253969896,9510219299,12.30301168,928.3347725,-0.060970101,6.204447767,42.496,20.82653558,16.72646105,Europe,Yes
Madagascar,91120000,3076.613,72.02652708,18.74452782,,,3.864986353,12522957228,21.46613957,,2.700996011,53.30695635,34.534,,23.51776666,Africa,Yes
Maldives,56952000,1334.788,0.903032402,100,,,0.046677738,3697351597,3.333333333,,4.567409729,0.608069077,38.106,,9.921230863,Asia,Yes
Middle East & North Africa,8118000000,2593273.893,1.601525036,96.2096254,97.35902122,2895.90072,68.2919117,3.57E+12,2.065815943,2353.225056,1.94019446,2.961798447,64.00006958,,50.52272979,Africa,
Mexico,4510000000,480270.657,9.758462423,99.172928,90.27848997,2157.323949,10.60161306,1.31E+12,34.01918854,1561.873458,1.277676363,17.54351633,78.993,,23.09968975,North America,Yes
